,id,file_name,label,data_sharer,dataset,recorder
0,6954,6954.indonesia_bombs.b_williams_ucl.ambient.wav,ambient,b_williams_ucl,indonesia_bombs,hydromoth
1,8827,8827.kenya.b_williams_ucl.ambient.wav,ambient,b_williams_ucl,kenya,hydromoth
2,2285,2285.florida_boats.c_white_bristol.ambient.wav,ambient,c_white_bristol,florida_boats,hydromoth
3,4417,4417.florida_boats.c_white_bristol.ambient.wav,ambient,c_white_bristol,florida_boats,hydromoth
4,6878,6878.indonesia_bombs.b_williams_ucl.ambient.wav,ambient,b_williams_ucl,indonesia_bombs,hydromoth
5,6843,6843.indonesia_bombs.b_williams_ucl.ambient.wav,ambient,b_williams_ucl,indonesia_bombs,hydromoth
6,4274,4274.florida_boats.c_white_bristol.ambient.wav,ambient,c_white_bristol,florida_boats,hydromoth
7,6845,6845.indonesia_bombs.b_williams_ucl.ambient.wav,ambient,b_williams_ucl,indonesia_bombs,hydromoth
8,8999,8999.kenya.b_williams_ucl.ambient.wav,ambient,b_williams_ucl,kenya,hydromoth
9,9174,9174.kenya.b_williams_ucl.ambient.wav,ambient,b_williams_ucl,kenya,hydromoth
10,9333,9333.kenya.b_williams_ucl.ambient.wav,ambient,b_williams_ucl,kenya,hydromoth
11,8449,8449.indonesia_bombs.b_williams_ucl.ambient.wav,ambient,b_williams_ucl,indonesia_bombs,hydromoth
12,9052,9052.kenya.b_williams_ucl.ambient.wav,ambient,b_williams_ucl,kenya,hydromoth
13,9134,9134.kenya.b_williams_ucl.ambient.wav,ambient,b_williams_ucl,kenya,hydromoth
14,8419,8419.indonesia_bombs.b_williams_ucl.ambient.wav,ambient,b_williams_ucl,indonesia_bombs,hydromoth
15,2868,2868.florida_boats.c_white_bristol.ambient.wav,ambient,c_white_bristol,florida_boats,hydromoth
16,1867,1867.florida_boats.c_white_bristol.ambient.wav,ambient,c_white_bristol,florida_boats,hydromoth
17,2133,2133.florida_boats.c_white_bristol.ambient.wav,ambient,c_white_bristol,florida_boats,hydromoth
